AED,阿拉伯聯合大公國迪拉姆
ARS,阿根廷披索
AUD,澳幣
BGN,保加利亞列弗
BND,汶萊元
BOB,玻利維亞幣
BRL,巴西雷亞爾
CAD,加幣
CHF,瑞士法郎
CLP,智利披索
CNY,中國人民幣
COP,哥倫比亞披索
CZK,捷克克郎
DKK,丹麥克朗
EGP,埃及鎊
EUR,歐元
FJD,斐濟元
GBP,英鎊
HKD,港幣
HRK,克羅埃西亞克朗
HUF,匈牙利福林
IDR,印尼盧比
ILS,以色列新舍克
INR,印度盧比
JPY,日圓
KES,肯亞先令
KRW,韓元
LTL,立陶宛利塔斯
MAD,摩洛哥迪拉姆
MXN,墨西哥披索
MYR,馬來西亞林吉特
NOK,挪威克朗
NZD,紐西蘭幣
PEN,祕魯幣
PHP,菲律賓披索
PKR,巴基斯坦盧比
PLN,波蘭茲羅提
RON,羅馬尼亞列伊
RSD,塞爾維亞第納爾
RUB,俄羅斯盧布
SAR,沙烏地阿拉伯里亞爾
SEK,瑞典克朗
SGD,新加坡幣
THB,泰銖
TRY,土耳其里拉
TWD,新臺幣
UAH,烏克蘭赫里納
USD,美元
VEF,委內瑞拉銀幣
VND,越南盾
ZAR,南非蘭特
